accuracy,accuracy_drop,balanced_accuracy,balanced_accuracy_drop,case,cost_saving_fraction,delayed_exit_count,exit_disagreement_count,expected_cost_fraction,historical_no_overhead_saving,macro_f1,method,premature_count,reference_accuracy,reference_balanced_accuracy,requested_saving,rescue_count,route_fractions,samples,seed,split,threshold,view,worst_class_accuracy_drop
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.2742185032705692,1922,245,0.7257814967294308,0.27427208626778965,0.8710272687835319,msp,0,0.8706,0.8705999999999999,0.3,0,"[0.4872, 0.5127999999999999]",5000,59,target,0.9971054923626335,matched_compute,0.0
0.87,-0.00019999999999997797,0.8699999999999999,-0.00020000000000000017,cifar10,0.36520905310233864,1137,215,0.6347909468976614,0.36524575035004503,0.8706392736998991,entropy,0,0.8698,0.8698,,1,"[0.6488, 0.35119999999999996]",5000,54,source,-0.09503048829526978,same_risk,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.36813696683454894,1133,199,0.6318630331654511,0.3681731207289294,0.8716725543594016,entropy,0,0.8718,0.8718,,0,"[0.654, 0.346]",5000,55,source,-0.09503048829526978,same_risk,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.36430815656935067,1155,261,0.6356918434306493,0.36434502100269583,0.8719012337456494,entropy,0,0.8716,0.8715999999999999,,0,"[0.6472, 0.3528]",5000,56,source,-0.09503048829526978,same_risk,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.37545675116507504,1096,213,0.624543248834925,0.3754915466761406,0.8702221963801193,entropy,0,0.87,0.8700000000000001,,0,"[0.667, 0.33299999999999996]",5000,57,target,-0.09503048829526978,same_risk,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.37342973396585233,1150,245,0.6265702660341477,0.3734649056446051,0.8705465381481405,entropy,0,0.87,0.8700000000000001,,0,"[0.6634, 0.3366]",5000,58,target,-0.09503048829526978,same_risk,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.35023164824141606,1279,245,0.6497683517585839,0.3502711249503667,0.8710272687835319,entropy,0,0.8706,0.8705999999999999,,0,"[0.6222, 0.3778]",5000,59,target,-0.09503048829526978,same_risk,0.0
0.8698,0.0,0.8698,0.0,cifar10,0.10192204133664928,3425,215,0.8980779586633507,0.10200759858728137,0.8704341932434154,entropy,0,0.8698,0.8698,0.1,0,"[0.1812, 0.8188]",5000,54,source,-0.00011285659436385347,matched_compute,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.10316077406950752,3427,199,0.8968392259304925,0.10324610143988633,0.8716725543594016,entropy,0,0.8718,0.8718,0.1,0,"[0.1834, 0.8166]",5000,55,source,-0.00011285659436385347,matched_compute,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.0952779294058641,3491,261,0.9047220705941359,0.09536471965058202,0.8719012337456494,entropy,0,0.8716,0.8715999999999999,0.1,0,"[0.1694, 0.8306]",5000,56,source,-0.00011285659436385347,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.12151654092913422,3287,213,0.8784834590708658,0.12159846189212342,0.8702221963801193,entropy,0,0.87,0.8700000000000001,0.1,0,"[0.216, 0.784]",5000,57,target,-0.00011285659436385347,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.11667422206432476,3362,245,0.8833257779356752,0.11675704165012224,0.8705465381481405,entropy,0,0.87,0.8700000000000001,0.1,0,"[0.2074, 0.7926]",5000,58,target,-0.00011285659436385347,matched_compute,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.08739508474222069,3564,245,0.9126049152577793,0.08748333786127771,0.8710272687835319,entropy,0,0.8706,0.8705999999999999,0.1,0,"[0.1554, 0.8446]",5000,59,target,-0.00011285659436385347,matched_compute,0.0
0.8698,0.0,0.8698,0.0,cifar10,0.1976422979666046,2579,215,0.8023577020333954,0.19771009174311915,0.8704341932434154,entropy,0,0.8698,0.8698,0.2,0,"[0.3512, 0.6488]",5000,54,source,-0.0022074341455410804,matched_compute,0.0
