accuracy_drop_max,accuracy_drop_mean,accuracy_drop_min,accuracy_drop_sample_sd,accuracy_max,accuracy_mean,accuracy_min,accuracy_sample_sd,all_risk_feasible,all_saving_floor_pass,balanced_accuracy_max,balanced_accuracy_mean,balanced_accuracy_min,balanced_accuracy_sample_sd,case,cost_saving_fraction_max,cost_saving_fraction_mean,cost_saving_fraction_min,cost_saving_fraction_sample_sd,early_fraction_max,early_fraction_mean,early_fraction_min,early_fraction_sample_sd,n,paired_accuracy_difference,paired_ci95_high,paired_ci95_low,paired_direction,reference_accuracy_max,reference_accuracy_mean,reference_accuracy_min,reference_accuracy_sample_sd,search_candidates_total,selected_seeds,split,strategy,target_recalibrations,threshold_parameters,worst_class_accuracy_drop_max,worst_class_accuracy_drop_mean,worst_class_accuracy_drop_min,worst_class_accuracy_drop_sample_sd
0.0,-0.0020000000000000018,-0.0031999999999999806,0.0017435595774162684,0.5752,0.5689333333333333,0.5656,0.005430776494511056,False,False,0.5752,0.5689333333333333,0.5656,0.005430776494511056,cifar100_strict,0.17510986851551769,0.1488380381940884,0.11708339110992605,0.02939921733253607,0.3084,0.2624,0.2068,0.05147581956608365,3,0.002,0.0032,0.0007999999999999999,I minus S,0.5752,0.5669333333333334,0.5628,0.0071591433379514045,3006,3,target_E,I,3,3,0.040000000000000036,0.02666666666666669,0.0,0.02309401076758505
0.0,0.0,0.0,0.0,0.5752,0.5669333333333334,0.5628,0.0071591433379514045,False,False,0.5752,0.5669333333333334,0.5628,0.0071591433379514045,cifar100_strict,0.09789353244036036,0.09697972964657149,0.09515212405899376,0.001582752866940706,0.1732,0.17159999999999997,0.1684,0.002771281292110203,3,0.0,0.0,0.0,A minus S,0.5752,0.5669333333333334,0.5628,0.0071591433379514045,1002,3,target_E,A,0,1,0.040000000000000036,0.013333333333333345,0.0,0.023094010767585053
0.0027999999999999137,-0.008666666666666711,-0.020400000000000085,0.01160229862283045,0.5836,0.5756000000000001,0.56,0.013511476603243616,False,True,0.5836,0.5756000000000001,0.56,0.013511476603243616,cifar100_strict,0.570101126130746,0.5700249758979303,0.5698726754322989,0.00013189607224500541,1.0,0.9998666666666667,0.9996,0.0002309401076758249,3,0.008666666666666666,0.01813333333333333,-0.0006666666666666647,C minus S,0.5752,0.5669333333333334,0.5628,0.0071591433379514045,1002,3,target_E,C,0,1,0.16000000000000003,0.16000000000000003,0.16000000000000003,0.0
-0.00880000000000003,-0.010133333333333364,-0.011200000000000099,0.0012220201853215802,0.5772,0.5713333333333334,0.5672,0.005220472520120516,True,True,0.5771999999999998,0.5713333333333332,0.5671999999999999,0.0052204725201204175,cifar100_relaxed,0.2363346556993703,0.23488780127587136,0.2335932473180038,0.0013770354215597606,0.4156,0.4130666666666667,0.4108,0.0024110855093366973,3,,,,,0.566,0.5612,0.5584,0.00417612260356418,1002,3,source_F,S,0,1,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0
-0.010800000000000032,-0.011866666666666692,-0.013599999999999945,0.0015143755588800088,0.5772,0.5730666666666667,0.5692,0.004006661120351131,True,True,0.5771999999999998,0.5730666666666666,0.5692,0.004006661120351013,cifar100_relaxed,0.2589512748456443,0.25087935016717605,0.23656310639781752,0.012431860773581303,0.4552,0.44106666666666666,0.416,0.021767253692952033,3,0.0017333333333333333,0.0030666666666666668,0.0004,I minus S,0.566,0.5612,0.5584,0.00417612260356418,3006,3,source_F,I,0,3,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0
-0.00880000000000003,-0.010133333333333364,-0.011200000000000099,0.0012220201853215802,0.5772,0.5713333333333334,0.5672,0.005220472520120516,True,True,0.5771999999999998,0.5713333333333332,0.5671999999999999,0.0052204725201204175,cifar100_relaxed,0.2363346556993703,0.23488780127587136,0.2335932473180038,0.0013770354215597606,0.4156,0.4130666666666667,0.4108,0.0024110855093366973,3,0.0,0.0,0.0,A minus S,0.566,0.5612,0.5584,0.00417612260356418,1002,3,source_F,A,0,1,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0
-0.0031999999999999806,-0.005333333333333338,-0.00759999999999994,0.0022030282189144166,0.5712,0.5665333333333333,0.5616,0.0048055523442507185,False,True,0.5711999999999999,0.5665333333333332,0.5616,0.004805552344250661,cifar100_relaxed,0.570101126130746,0.570101126130746,0.570101126130746,0.0,1.0,1.0,1.0,0.0,3,-0.0048,0.0043999999999999985,-0.013866666666666668,C minus S,0.566,0.5612,0.5584,0.00417612260356418,1002,3,source_F,C,0,1,0.24,0.18666666666666668,0.16000000000000003,0.046188021535170036
-0.006000000000000005,-0.008533333333333356,-0.010400000000000076,0.002274496281230957,0.5772,0.5724,0.5688,0.004326661530556819,False,True,0.5771999999999999,0.5724,0.5688000000000001,0.004326661530556727,cifar100_relaxed,0.24547268363725872,0.24105597013394606,0.237020007794712,0.004239181620490403,0.4316,0.42386666666666667,0.4168,0.0074224883518489385,3,,,,,0.5712,0.5638666666666667,0.5596,0.006379132647416403,1002,3,target_E,S,0,1,0.07999999999999996,0.053333333333333344,0.040000000000000036,0.023094010767584987
-0.0020000000000000018,-0.006799999999999991,-0.009199999999999986,0.004156921938165296,0.5732,0.5706666666666665,0.5688,0.002274496281230973,True,True,0.5732,0.5706666666666668,0.5688000000000001,0.0022744962812309274,cifar100_relaxed,0.23679155709626476,0.21790629935796194,0.1979549383602388,0.019440246161807482,0.4164,0.3833333333333333,0.3484,0.034038409676912545,3,-0.0017333333333333333,-0.0002666666666666665,-0.0033333333333333335,I minus S,0.5712,0.5638666666666667,0.5596,0.006379132647416403,3006,3,target_E,I,3,3,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0
-0.006000000000000005,-0.008533333333333356,-0.010400000000000076,0.002274496281230957,0.5772,0.5724,0.5688,0.004326661530556819,False,True,0.5771999999999999,0.5724,0.5688000000000001,0.004326661530556727,cifar100_relaxed,0.24547268363725872,0.24105597013394606,0.237020007794712,0.004239181620490403,0.4316,0.42386666666666667,0.4168,0.0074224883518489385,3,0.0,0.0,0.0,A minus S,0.5712,0.5638666666666667,0.5596,0.006379132647416403,1002,3,target_E,A,0,1,0.07999999999999996,0.053333333333333344,0.040000000000000036,0.023094010767584987
