,,,,latency_mean_ms,latency_mean_ms,latency_p95_ms,latency_p95_ms,throughput_samples_per_second,throughput_samples_per_second
,,,,mean,std,mean,std,mean,std
device,dataset,batch_size,mode,,,,,,
cpu,cifar100,16,forced_fallback,21.090733739266664,0.13663335248483796,22.558154646666665,0.10562402699884416,758.6804980340775,4.951729494581547
cpu,cifar100,32,actual_dynamic,23.280311805133334,0.20849902410589824,24.92985756,0.4311162860343302,1374.7244940536427,12.316285258886392
cpu,cifar100,32,exit8_only,10.808101071533335,0.06342095809788116,12.087026023333332,0.04901945439562638,2962.039222083545,17.761050381175014
cpu,cifar100,32,final_only,22.897658676866666,0.09271549472240659,24.37472628,0.17095504221985935,1397.6720634835365,5.7958208339583885
cpu,cifar100,32,forced_fallback,23.831613435666668,0.05515823397043214,25.46951519,0.26787345448657074,1342.951226470065,3.078191082483891
cuda,cifar10,1,actual_dynamic,3.7418418449999997,0.09510658961998367,5.489988889999999,0.21973249579414797,267.47910948466256,6.601909377841532
cuda,cifar10,1,exit8_only,2.1265362559999996,0.03593653124106645,2.337569653333333,0.11991455688717455,470.50340667448353,7.837084063536236
cuda,cifar10,1,final_only,4.503788488600001,0.042802074504648555,4.896092516666666,0.05059018659960646,222.09377126484364,2.1190239521400938
cuda,cifar10,1,forced_fallback,5.291644214133333,0.10252581487545413,5.70780687,0.24142703454338357,189.06607848276948,3.5952520433017
cuda,cifar10,4,actual_dynamic,5.123793004,0.020390348334132297,5.878715623333332,0.16585030809310622,781.1470676445728,3.1977635398268496
cuda,cifar10,4,exit8_only,2.1651081102666665,0.025788933245807166,2.3258713699999998,0.06075452931809124,1849.572687331695,19.828236116239246
cuda,cifar10,4,final_only,4.591750348933334,0.09223539172953135,4.9532324999999995,0.08449910678860324,873.0556147720135,15.30898272677858
cuda,cifar10,4,forced_fallback,5.3105547025333335,0.01720767509718231,5.886567299999999,0.13511561683599663,753.3720129398152,2.4711161886192103
cuda,cifar10,8,actual_dynamic,5.416332642066666,0.01808375042344146,5.929215016666667,0.1365407342040404,1477.3809355047458,4.886444721999748
cuda,cifar10,8,exit8_only,2.1503173876,0.006439535056989705,2.2838214466666664,0.015856368734493503,3720.97471437774,10.942837605324344
cuda,cifar10,8,final_only,4.5748161168,0.06747140467856413,4.98656094,0.18636257355728772,1750.132775751098,24.33235760599842
cuda,cifar10,8,forced_fallback,5.302680269466666,0.011353865954383428,5.793945493333332,0.08500004306422147,1508.9687876218832,3.1615523798894896
cuda,cifar10,16,actual_dynamic,5.496903226266667,0.010931986222476068,5.901835523333332,0.05752841559283266,2911.195766747278,5.791414320346389
cuda,cifar10,16,exit8_only,2.1660190158,0.011244287892369717,2.352218713333333,0.07247719895110842,7389.072548414354,37.73356371619747
cuda,cifar10,16,final_only,4.5476634548,0.015372665148651089,4.904956553333333,0.05542747701822297,3519.6886694622394,11.142458735418737
cuda,cifar10,16,forced_fallback,5.343789454066666,0.041541514365362964,5.920540606666666,0.18439379962272456,2995.3142270838102,22.171617389592654
cuda,cifar10,32,actual_dynamic,5.5130138181333335,0.03391720117420643,6.106055913333333,0.15648937126011833,5806.364916667953,36.359371135067384
cuda,cifar10,32,exit8_only,2.171630293733333,0.015611936283791546,2.327989113333333,0.04827648904298279,14740.789402168733,107.69711904825886
cuda,cifar10,32,final_only,4.571949020733332,0.07680038189820784,5.01661969,0.17015045056446856,7004.25136943704,112.81148937008876
cuda,cifar10,32,forced_fallback,5.302600026066667,0.05958966052260015,5.7473076899999995,0.04678608551889462,6037.023235176418,68.58527314338973
cuda,cifar100,1,actual_dynamic,4.600879558266667,0.0914509230781489,5.658156466666665,0.32546157746794546,217.5146342606116,4.1733299725602855
cuda,cifar100,1,exit8_only,2.1315906289999997,0.007083650063632284,2.279332353333333,0.05664944933579213,469.1862663747873,1.5448174874797675
cuda,cifar100,1,final_only,4.522245271466667,0.031502552665702226,4.941698866666666,0.11549910721723494,221.19932080087082,1.5528427859139085
cuda,cifar100,1,forced_fallback,5.314844834333333,0.04086582036086583,5.737735666666666,0.1491400602509072,188.29730836719452,1.2733706486404863
cuda,cifar100,4,actual_dynamic,5.418205556333334,0.018363121461743896,5.791004906666667,0.04219037464820374,738.4631916291816,2.3322188157898425
cuda,cifar100,4,exit8_only,2.1593194336666666,0.02006241283711915,2.3710029166666664,0.14756573448840854,1853.320527270577,16.213526127247444
cuda,cifar100,4,final_only,4.571086743733333,0.0212864821606456,4.994972313333332,0.1674691910633404,875.2415813298135,4.053742533682067
cuda,cifar100,4,forced_fallback,5.3238036848000005,0.028557562634712236,5.765019766666666,0.12057931559629502,751.5764916599072,3.9305210098765584
cuda,cifar100,8,actual_dynamic,5.4952364386,0.0026665377461067502,6.000668189999999,0.11990792463807011,1456.2753275734065,1.0071763137531267
cuda,cifar100,8,exit8_only,2.1524622861333333,0.02360809406212966,2.3443693233333334,0.07686642575214336,3718.0802356217887,40.805055902813514
cuda,cifar100,8,final_only,4.556731668933334,0.01647775566697963,4.929437993333333,0.09240698507928904,1756.0968540698577,6.493056306082795
cuda,cifar100,8,forced_fallback,5.333302593066667,0.049191954379986566,5.8254914866666665,0.06713369114848283,1500.358230666703,13.926417713898925
cuda,cifar100,16,actual_dynamic,5.533705438533333,0.014901023114201007,6.04991799,0.15871806693326418,2892.1687147021553,7.420609717795274
cuda,cifar100,16,exit8_only,2.1740475116,0.006002747325576207,2.32006078,0.05272107610600022,7361.112888498289,20.31091605224791
cuda,cifar100,16,final_only,4.572899541733333,0.020590021156506585,4.95152143,0.03500847735116048,3499.9496027265864,15.902287957327943
cuda,cifar100,16,forced_fallback,5.326359800933333,0.05763618205470432,5.765167456666666,0.2087908584294282,3005.207100712096,32.34487559047704
cuda,cifar100,32,actual_dynamic,5.5490187672,0.019739519117162256,6.112761363333333,0.12282332085211435,5769.901094993221,18.60892008776934
cuda,cifar100,32,exit8_only,2.1756678739999997,0.0012513644705430499,2.3534798599999998,0.05477162902956491,14711.683918864868,8.841494818551004
